,City,Country,Date,Latitude,Longitude,Temperature,Max. Temp.,Humidity,Cloudiness,Wind Speed
0,Kenai,US,1600076561,60.55,-151.26,3.59,4.0,86,90,2.2
1,Kapaa,US,1600076561,22.08,-159.32,23.49,27.0,69,20,4.6
2,Lagoa,PT,1600076562,39.05,-27.98,19.91,19.91,72,69,10.45
3,Mataura,NZ,1600076562,-46.19,168.86,7.78,7.78,82,25,2.24
4,Ushuaia,AR,1600076493,-54.8,-68.3,8.0,8.0,49,40,9.3
5,Tawao,MY,1600076563,4.25,117.89,30.0,30.0,74,20,2.6
6,Rome,US,1600076525,43.21,-75.46,14.42,15.0,93,20,2.1
7,Ribeira Grande,PT,1600076563,38.52,-28.7,20.0,20.0,72,40,10.8
8,Castro,BR,1600076564,-24.79,-50.01,19.08,19.08,49,100,1.61
9,Faanui,PF,1600076564,-16.48,-151.75,25.44,25.44,76,13,1.98
10,Aksarka,RU,1600076565,66.56,67.8,8.64,8.64,89,100,7.3
11,Usinsk,RU,1600076565,65.99,57.53,12.68,12.68,76,100,8.18
12,Lüderitz,NA,1600076565,-26.65,15.16,18.9,18.9,29,0,9.75
13,Mar del Plata,AR,1600076303,-38.0,-57.56,4.7,5.0,93,0,3.1
14,Hambantota,LK,1600076566,6.12,81.12,32.0,32.0,66,75,5.7
15,Provideniya,RU,1600076566,64.38,-173.3,7.38,7.38,94,100,3.22
16,Deputatsky,RU,1600076566,69.3,139.9,6.33,6.33,64,100,5.21
17,San Patricio,MX,1600076567,19.22,-104.7,25.61,25.61,86,77,2.26
18,Atuona,PF,1600076567,-9.8,-139.03,25.31,25.31,79,33,7.31
19,Orange Cove,US,1600076470,36.62,-119.31,17.86,18.0,59,0,1.31
20,Scarborough,GB,1600076567,54.28,-0.4,18.54,18.89,76,0,1.34
21,Albany,US,1600076568,42.6,-73.97,17.58,18.33,71,98,3.72
22,Killybegs,IE,1600076568,54.63,-8.45,15.51,16.0,93,75,2.6
23,Severo-Kuril'sk,RU,1600076569,50.68,156.12,9.89,9.89,83,13,5.98
24,Hofn,IS,1600076569,64.25,-15.21,8.0,8.0,70,75,4.1
25,The Valley,AI,1600076569,18.22,-63.06,27.66,28.0,83,20,3.1
26,Evensk,RU,1600076570,61.95,159.23,6.61,6.61,64,68,3.15
27,Isangel,VU,1600076570,-19.55,169.27,23.0,23.0,83,40,2.6
28,Busselton,AU,1600076570,-33.65,115.33,19.35,20.0,37,98,1.61
29,Cherskiy,RU,1600076571,68.75,161.3,7.21,7.21,72,84,3.5
30,Muncar,ID,1600076571,-8.43,114.33,25.68,25.68,72,80,2.71
31,Saint-Philippe,RE,1600076571,-21.36,55.77,20.61,23.0,60,86,12.9
32,Bengkulu,ID,1600076366,-3.8,102.27,27.43,27.43,81,68,4.37
33,Ellisras,ZA,1600076572,-23.66,27.74,29.71,29.71,17,0,2.93
34,Yokadouma,CM,1600076572,3.52,15.05,22.76,22.76,90,100,1.09
35,Rikitea,PF,1600076573,-23.12,-134.97,22.94,22.94,83,0,6.91
36,Mahébourg,MU,1600076573,-20.41,57.7,23.0,23.0,64,75,8.2
37,Guerrero Negro,MX,1600076574,27.98,-114.06,24.03,24.03,56,0,2.39
38,Toamasina,MG,1600076574,-18.17,49.38,27.0,27.0,61,40,4.6
39,Severo-Yeniseyskiy,RU,1600076574,60.37,93.04,13.8,13.8,66,99,0.45
40,Road Town,VG,1600076417,18.42,-64.62,27.96,28.33,91,81,0.45
41,Ahipara,NZ,1600076575,-35.17,173.17,12.18,12.18,79,33,4.32
42,Omsukchan,RU,1600076576,62.53,155.8,3.04,3.04,79,74,2.12
43,Chui,UY,1600076576,-33.7,-53.46,7.4,7.4,79,0,4.61
44,Nea Kallikrateia,GR,1600076576,40.32,23.07,29.5,32.22,57,10,2.6
45,Morro Bay,US,1600076440,35.37,-120.85,13.44,14.44,96,24,0.89
46,Vaini,TO,1600076577,-21.2,-175.2,21.0,21.0,77,75,3.6
47,Lebu,CL,1600076577,-37.62,-73.65,7.73,7.73,72,0,7.94
48,Mehamn,NO,1600076578,71.04,27.85,10.0,10.0,81,75,5.7
49,Richards Bay,ZA,1600076578,-28.78,32.04,22.44,22.44,63,79,3.64
50,Punta Arenas,CL,1600076543,-53.15,-70.92,6.83,7.0,70,98,9.8
51,Nikolskoye,RU,1600076579,59.7,30.79,16.19,17.0,48,75,6.0
52,Kazachinskoye,RU,1600076579,57.7,93.28,17.5,17.5,55,26,1.62
53,Puerto Ayora,EC,1600076580,-0.74,-90.35,18.33,18.33,97,100,2.24
54,Aklavik,CA,1600076580,68.22,-135.01,2.0,2.0,93,90,1.5
55,Delaware,US,1600076563,39.0,-75.5,21.53,22.0,94,90,1.5
56,Tasiilaq,GL,1600076581,65.61,-37.64,1.0,1.0,80,96,0.95
57,Bredasdorp,ZA,1600076581,-34.53,20.04,12.22,12.22,88,99,3.58
58,Chara,RU,1600076581,56.91,118.26,14.59,14.59,67,81,5.28
59,Airai,TL,1600076581,-8.93,125.41,15.27,15.27,81,37,1.84
60,Nishifukuma,JP,1600076582,33.77,130.47,24.44,25.0,65,40,3.6
61,Lugus,PH,1600076582,5.7,120.82,28.0,28.0,74,84,3.28
62,Bluff,NZ,1600076479,-46.6,168.33,7.78,7.78,82,9,2.24
63,Nosy Varika,MG,1600076582,-20.58,48.53,24.25,24.25,57,20,3.62
64,Thompson,CA,1600076401,55.74,-97.86,2.0,2.0,100,90,2.76
65,Port Elizabeth,ZA,1600076554,-33.92,25.57,19.0,19.0,42,40,8.2
66,Avarua,CK,1600076584,-21.21,-159.78,20.0,20.0,77,18,1.0
67,Cabo San Lucas,MX,1600076585,22.89,-109.91,25.56,26.11,87,88,1.24
68,Dunedin,NZ,1600076585,-45.87,170.5,9.69,10.0,80,34,3.13
69,Vanavara,RU,1600076585,60.34,102.28,14.9,14.9,65,17,2.84
70,Shache,CN,1600076586,38.42,77.24,29.87,29.87,14,100,3.42
71,Grand Gaube,MU,1600076586,-20.01,57.66,23.89,23.89,60,6,5.81
72,Grand-Santi,GF,1600076586,4.25,-54.38,23.02,23.02,97,49,0.69
73,Manchester,GB,1600076043,53.48,-2.24,18.16,18.89,88,49,2.1
74,Manokwari,ID,1600076587,-0.87,134.08,27.37,27.37,76,58,1.94
75,Lichinga,MZ,1600076587,-13.31,35.24,26.0,26.0,47,40,6.2
76,Vostok,RU,1600076588,46.49,135.88,10.69,10.69,72,100,1.13
77,Kuloy,RU,1600076588,61.03,42.49,11.15,11.15,67,100,5.83
78,Dikson,RU,1600076588,73.51,80.55,5.18,5.18,93,62,7.16
79,Manono,CD,1600076589,-7.3,27.42,37.01,37.01,21,24,3.0
80,George Town,MY,1600076589,5.41,100.34,28.94,29.0,70,20,3.1
81,Kahului,US,1600076589,20.89,-156.47,22.94,25.0,69,20,3.6
82,Hithadhoo,MV,1600076590,-0.6,73.08,27.75,27.75,65,0,2.05
83,Wanning,CN,1600076590,18.8,110.4,29.47,29.47,76,23,2.86
84,Sabang,ID,1600076590,5.89,95.32,28.23,28.23,76,49,7.6
85,Hermanus,ZA,1600076591,-34.42,19.23,12.22,12.22,88,98,3.58
86,Salalah,OM,1600076591,17.02,54.09,30.0,30.0,74,22,6.7
87,Piaçabuçu,BR,1600076591,-10.41,-36.43,24.75,24.75,77,64,4.9
88,Bairiki Village,KI,1600076592,1.33,172.98,29.0,29.0,74,40,4.6
89,Dubbo,AU,1600076593,-32.25,148.62,15.0,15.0,58,0,4.1
90,Yangi Marg`ilon,UZ,1600076593,40.43,71.72,28.0,28.0,21,0,2.1
91,Seoul,KR,1600076593,37.57,126.98,23.7,24.0,69,90,1.5
92,Barrow,US,1600076593,71.29,-156.79,4.0,4.0,93,90,4.1
93,Hasaki,JP,1600076484,35.73,140.83,22.31,23.0,88,75,3.1
94,Hong Kong,HK,1600076303,22.29,114.16,28.56,30.0,70,14,5.36
95,Areia Branca,BR,1600076594,-4.96,-37.14,24.48,24.48,69,0,7.2
96,Erenhot,CN,1600076595,43.65,111.98,20.65,20.65,22,93,1.13
97,Leningradskiy,RU,1600076595,69.38,178.42,4.27,4.27,90,100,2.96
98,Yabrūd,SY,1600076595,33.97,36.66,23.33,23.33,53,0,0.45
99,Hilo,US,1600076551,19.73,-155.09,20.86,23.0,78,90,3.1
100,Carlyle,US,1600076596,38.61,-89.37,14.71,15.56,100,1,3.23
101,Broken Hill,AU,1600076319,-31.95,141.43,18.0,18.0,42,0,5.7
102,Coquimbo,CL,1600076596,-29.95,-71.34,8.0,8.0,87,0,1.5
103,Bethel,US,1600076596,41.37,-73.41,17.9,18.33,93,1,1.5
104,Carnarvon,AU,1600076597,-24.87,113.63,24.0,24.0,73,0,6.2
105,Nanortalik,GL,1600076597,60.14,-45.24,4.96,4.96,66,39,4.83
